,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
11,frozenset({'水壶和水壶架'}),frozenset({'头盔'}),0.2460506383899589,0.32244103008006925,0.07860852629301017,0.31948109058927,0.9908202145053803,-0.0007282950013068057,0.9956504669453456
10,frozenset({'头盔'}),frozenset({'水壶和水壶架'}),0.32244103008006925,0.2460506383899589,0.07860852629301017,0.24379194630872483,0.9908202145053804,-0.0007282950013068057,0.9970131340572098
15,frozenset({'头盔'}),frozenset({'公路自行车'}),0.32244103008006925,0.34608309889634276,0.11096083098896342,0.3441275167785235,0.9943493856705062,-0.000630559912475806,0.997018350109439
14,frozenset({'公路自行车'}),frozenset({'头盔'}),0.34608309889634276,0.32244103008006925,0.11096083098896342,0.3206190401750821,0.9943493856705062,-0.000630559912475806,0.9973181616607909
12,frozenset({'公路自行车'}),frozenset({'水壶和水壶架'}),0.34608309889634276,0.2460506383899589,0.08602034191733392,0.2485540096920432,1.0101742117739063,0.0008663744979135052,1.0033314054960336
13,frozenset({'水壶和水壶架'}),frozenset({'公路自行车'}),0.2460506383899589,0.34608309889634276,0.08602034191733392,0.34960422163588395,1.0101742117739065,0.0008663744979135052,1.0054138154900043
2,frozenset({'公路自行车'}),frozenset({'骑行服'}),0.34608309889634276,0.17268989396234583,0.062432373945033544,0.18039706112240114,1.0446300995571625,0.002667320294464072,1.0094035377308552
3,frozenset({'骑行服'}),frozenset({'公路自行车'}),0.17268989396234583,0.34608309889634276,0.062432373945033544,0.3615288220551378,1.0446300995571625,0.002667320294464072,1.024191731267357
9,frozenset({'头盔'}),frozenset({'山地自行车'}),0.32244103008006925,0.2212183510062757,0.07509197143475438,0.23288590604026846,1.052742256602671,0.0037620984636765192,1.0152096736663598
8,frozenset({'山地自行车'}),frozenset({'头盔'}),0.2212183510062757,0.32244103008006925,0.07509197143475438,0.3394472976277818,1.052742256602671,0.0037620984636765192,1.025745512033542
19,frozenset({'车胎和内胎'}),frozenset({'头盔'}),0.45931616533217917,0.32244103008006925,0.15802856524561784,0.3440518256772674,1.0670224741306393,0.009926187763482586,1.0329458887807885
18,frozenset({'头盔'}),frozenset({'车胎和内胎'}),0.32244103008006925,0.45931616533217917,0.15802856524561784,0.49010067114093964,1.0670224741306393,0.009926187763482586,1.0603736935242556
5,frozenset({'水壶和水壶架'}),frozenset({'山地自行车'}),0.2460506383899589,0.2212183510062757,0.0674096515905648,0.27396657871591906,1.2384441773013077,0.012978735101896663,1.0726526164819679
4,frozenset({'山地自行车'}),frozenset({'水壶和水壶架'}),0.2212183510062757,0.2460506383899589,0.0674096515905648,0.30471998043531423,1.238444177301308,0.012978735101896663,1.084382321358937
16,frozenset({'山地自行车'}),frozenset({'公路自行车'}),0.2212183510062757,0.34608309889634276,0.11106903267690976,0.5020787478601125,1.45074622095456,0.034509100227918976,1.313293815625174
17,frozenset({'公路自行车'}),frozenset({'山地自行车'}),0.34608309889634276,0.2212183510062757,0.11106903267690976,0.32093168672815386,1.45074622095456,0.034509100227918976,1.146838445813272
1,frozenset({'旅行自行车'}),frozenset({'头盔'}),0.1159381086344947,0.32244103008006925,0.057238692923609606,0.4937004199720018,1.5311339870406848,0.01985548974996816,1.3382570253810244
0,frozenset({'头盔'}),frozenset({'旅行自行车'}),0.32244103008006925,0.1159381086344947,0.057238692923609606,0.17751677852348993,1.5311339870406848,0.01985548974996816,1.0748692110441476
6,frozenset({'山地自行车'}),frozenset({'旅行自行车'}),0.2212183510062757,0.1159381086344947,0.0674096515905648,0.30471998043531423,2.6282987019908295,0.04176201437965543,1.2715191958471863
7,frozenset({'旅行自行车'}),frozenset({'山地自行车'}),0.1159381086344947,0.2212183510062757,0.0674096515905648,0.5814279048063462,2.62829870199083,0.04176201437965543,1.860567529312766
