,support,itemsets
8,0.05512876000865614,frozenset({'短裤'})
17,0.057238692923609606,"frozenset({'头盔', '旅行自行车'})"
22,0.05988963427829474,"frozenset({'山地自行车', '车胎和内胎'})"
23,0.062215970569140876,"frozenset({'车胎和内胎', '骑行服'})"
15,0.062432373945033544,"frozenset({'公路自行车', '骑行服'})"
21,0.0674096515905648,"frozenset({'山地自行车', '水壶和水壶架'})"
20,0.0674096515905648,"frozenset({'山地自行车', '旅行自行车'})"
4,0.07444276130707639,frozenset({'手套'})
16,0.07509197143475438,"frozenset({'山地自行车', '头盔'})"
14,0.07844622376109067,"frozenset({'公路自行车', '车胎和内胎'})"
18,0.07860852629301017,"frozenset({'头盔', '水壶和水壶架'})"
13,0.08602034191733392,"frozenset({'公路自行车', '水壶和水壶架'})"
11,0.11096083098896342,"frozenset({'公路自行车', '头盔'})"
12,0.11106903267690976,"frozenset({'山地自行车', '公路自行车'})"
5,0.11415278078338022,frozenset({'挡泥板'})
3,0.11534299935078987,frozenset({'帽子'})
6,0.1159381086344947,frozenset({'旅行自行车'})
19,0.15802856524561784,"frozenset({'头盔', '车胎和内胎'})"
10,0.17268989396234583,frozenset({'骑行服'})
2,0.2212183510062757,frozenset({'山地自行车'})
7,0.2460506383899589,frozenset({'水壶和水壶架'})
1,0.32244103008006925,frozenset({'头盔'})
0,0.34608309889634276,frozenset({'公路自行车'})
9,0.45931616533217917,frozenset({'车胎和内胎'})
